N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
8,1,DETECT,1,1,,,0,78.402
8,2,TRACK,0,0,0.9866,,0,43.335
8,3,TRACK,0,0,0.9882,,0,24.773
8,4,TRACK,0,0,0.9786,,0,14.543
8,5,TRACK,0,0,0.9768,,0,19.747
8,6,TRACK,0,0,0.9661,,0,18.683
8,7,TRACK,0,0,0.9605,,0,21.298
8,8,TRACK,1,1,0.9557,0.6782,0,42.939
8,9,TRACK,0,0,0.9662,,0,27.580
8,10,TRACK,0,0,0.9666,,0,15.639
8,11,TRACK,0,0,0.9609,,0,26.048
8,12,TRACK,0,0,0.9600,,0,25.294
8,13,TRACK,0,0,0.9511,,0,33.571
8,14,TRACK,0,0,0.9586,,0,30.762
8,15,TRACK,0,0,0.9536,,0,22.602
8,16,TRACK,1,1,0.9556,0.8896,0,36.785
8,17,TRACK,0,0,0.9872,,0,17.067
8,18,TRACK,0,0,0.9876,,0,18.922
8,19,TRACK,0,0,0.9878,,0,15.711
8,20,TRACK,0,0,0.9853,,0,18.780
8,21,TRACK,0,0,0.9786,,0,20.674
8,22,TRACK,0,0,0.9840,,0,22.121
8,23,TRACK,0,0,0.9805,,0,14.009
8,24,TRACK,1,1,0.9828,0.8801,0,37.727
8,25,TRACK,0,0,0.9482,,0,18.137
8,26,TRACK,0,0,0.9455,,0,27.001
8,27,TRACK,0,0,0.9394,,0,15.407
8,28,TRACK,0,0,0.9285,,0,16.272
8,29,TRACK,0,0,0.9253,,0,19.067
8,30,TRACK,0,0,0.9287,,0,26.659
8,31,TRACK,0,0,0.9279,,0,18.749
8,32,TRACK,1,1,0.9225,0.8962,0,43.195
8,33,TRACK,0,0,0.9379,,0,15.786
8,34,TRACK,0,0,0.9389,,0,19.578
8,35,TRACK,0,0,0.9330,,0,15.448
8,36,TRACK,0,0,0.9347,,0,15.181
8,37,TRACK,0,0,0.9312,,0,15.255
8,38,TRACK,0,0,0.9283,,0,16.087
8,39,TRACK,0,0,0.9302,,0,16.202
8,40,TRACK,1,1,0.9280,0.8610,0,34.727
8,41,TRACK,0,0,0.9022,,0,18.576
8,42,TRACK,0,0,0.9050,,0,17.179
8,43,TRACK,0,0,0.8937,,0,16.601
8,44,TRACK,0,0,0.8994,,0,15.311
8,45,TRACK,0,0,0.8948,,0,15.716
8,46,TRACK,0,0,0.8969,,0,15.107
8,47,TRACK,0,0,0.8949,,0,18.615
8,48,TRACK,1,1,0.9002,0.8747,0,36.562
8,49,TRACK,0,0,0.9696,,0,16.660
8,50,TRACK,0,0,0.9595,,0,18.778
8,51,TRACK,0,0,0.9700,,0,15.697
8,52,TRACK,0,0,0.9604,,0,17.181
8,53,TRACK,0,0,0.9650,,0,15.747
8,54,TRACK,0,0,0.9578,,0,27.696
8,55,TRACK,0,0,0.9644,,0,17.790
8,56,TRACK,1,1,0.9558,0.8912,0,37.380
8,57,TRACK,0,0,0.9874,,0,15.846
8,58,TRACK,0,0,0.9878,,0,12.703
8,59,TRACK,0,0,0.9833,,0,18.198
8,60,TRACK,0,0,0.9826,,0,19.739
8,61,TRACK,0,0,0.9799,,0,25.681
8,62,TRACK,0,0,0.9817,,0,16.922
8,63,TRACK,0,0,0.9770,,0,14.052
8,64,TRACK,1,1,0.9830,0.9217,0,39.687
8,65,TRACK,0,0,0.9170,,0,14.656
8,66,TRACK,0,0,0.9193,,0,14.920
8,67,TRACK,0,0,0.9138,,0,11.063
8,68,TRACK,0,0,0.9162,,0,17.494
8,69,TRACK,0,0,0.9157,,0,26.676
8,70,TRACK,0,0,0.9169,,0,12.764
